Ground,Margin,Match_Date,Team1,Team2,matchID,winner
Centurion,17 runs,29-Mar-09,South Africa,Australia,88,South Africa
Dubai (DICS),7 wickets,7-May-09,Australia,Pakistan,89,Pakistan
Lord's,4 wickets,5-Jun-09,England,Netherlands,90,Netherlands
The Oval,7 wickets,6-Jun-09,New Zealand,Scotland,91,New Zealand
The Oval,7 wickets,6-Jun-09,Australia,West Indies,92,West Indies
Nottingham,25 runs,6-Jun-09,Bangladesh,India,93,India
The Oval,130 runs,7-Jun-09,Scotland,South Africa,94,South Africa
The Oval,48 runs,7-Jun-09,England,Pakistan,95,England
Nottingham,6 wickets,8-Jun-09,Bangladesh,Ireland,96,Ireland
Nottingham,6 wickets,8-Jun-09,Australia,Sri Lanka,97,Sri Lanka
Lord's,82 runs,9-Jun-09,Netherlands,Pakistan,98,Pakistan
Lord's,1 run,9-Jun-09,New Zealand,South Africa,99,South Africa
Nottingham,15 runs,10-Jun-09,Sri Lanka,West Indies,100,Sri Lanka
Nottingham,8 wickets,10-Jun-09,India,Ireland,101,India
Nottingham,83 runs,11-Jun-09,Ireland,New Zealand,102,New Zealand
Nottingham,7 wickets,11-Jun-09,England,South Africa,103,South Africa
Lord's,19 runs,12-Jun-09,Pakistan,Sri Lanka,104,Sri Lanka
Lord's,7 wickets,12-Jun-09,India,West Indies,105,West Indies
The Oval,20 runs,13-Jun-09,South Africa,West Indies,106,South Africa
The Oval,6 wickets,13-Jun-09,New Zealand,Pakistan,107,Pakistan
Lord's,9 runs,14-Jun-09,Ireland,Sri Lanka,108,Sri Lanka
Lord's,3 runs,14-Jun-09,England,India,109,England
The Oval,39 runs,15-Jun-09,Ireland,Pakistan,110,Pakistan
The Oval,5 wickets,15-Jun-09,England,West Indies,111,West Indies
Nottingham,48 runs,16-Jun-09,New Zealand,Sri Lanka,112,Sri Lanka
Nottingham,12 runs,16-Jun-09,India,South Africa,113,South Africa
Nottingham,7 runs,18-Jun-09,Pakistan,South Africa,114,Pakistan
The Oval,57 runs,19-Jun-09,Sri Lanka,West Indies,115,Sri Lanka
Lord's,8 wickets,21-Jun-09,Pakistan,Sri Lanka,116,Pakistan
Basseterre,5 wickets,2-Aug-09,West Indies,Bangladesh,117,West Indies
Colombo (RPS),52 runs,12-Aug-09,Sri Lanka,Pakistan,118,Pakistan
Manchester,-,30-Aug-09,England,Australia,119,no result
Colombo (RPS),3 runs,2-Sep-09,Sri Lanka,New Zealand,120,New Zealand
Colombo (RPS),22 runs,4-Sep-09,Sri Lanka,New Zealand,121,New Zealand
Dubai (DICS),49 runs,12-Nov-09,New Zealand,Pakistan,122,Pakistan
Dubai (DICS),7 runs,13-Nov-09,New Zealand,Pakistan,123,Pakistan
Johannesburg,1 run,13-Nov-09,South Africa,England,124,England
Centurion,84 runs,15-Nov-09,South Africa,England,125,South Africa
Nagpur,29 runs,9-Dec-09,India,Sri Lanka,126,Sri Lanka
Mohali,6 wickets,12-Dec-09,India,Sri Lanka,127,India
Colombo (PSS),5 wickets,1-Feb-10,Afghanistan,Ireland,128,Ireland
Nairobi (Gym),10 wickets,1-Feb-10,Kenya,Scotland,129,Kenya
Colombo (SSC),4 runs,3-Feb-10,Canada,Ireland,130,Canada
Hamilton,10 wickets,3-Feb-10,New Zealand,Bangladesh,131,New Zealand
Colombo (SSC),5 wickets,4-Feb-10,Afghanistan,Canada,132,Afghanistan
Nairobi (Gym),10 wickets,4-Feb-10,Kenya,Scotland,133,Kenya
Melbourne,2 runs,5-Feb-10,Australia,Pakistan,134,Australia
Dubai (DICS),13 runs,9-Feb-10,Afghanistan,Ireland,135,Afghanistan
Dubai (DICS),6 wickets,9-Feb-10,Canada,Netherlands,136,Netherlands
Abu Dhabi,14 runs,10-Feb-10,Afghanistan,Scotland,137,Afghanistan
Dubai (DICS),9 wickets,10-Feb-10,Canada,Kenya,138,Kenya
Abu Dhabi,7 wickets,11-Feb-10,Kenya,Netherlands,139,Netherlands
Dubai (DICS),37 runs,11-Feb-10,Ireland,Scotland,140,Ireland
Dubai (DICS),4 wickets,12-Feb-10,Afghanistan,Netherlands,141,Netherlands
Dubai (DICS),65 runs,13-Feb-10,Ireland,Netherlands,142,Ireland
Dubai (DICS),8 wickets,13-Feb-10,Afghanistan,Ireland,143,Afghanistan
Dubai (DICS),7 wickets,19-Feb-10,England,Pakistan,144,England
Dubai (DICS),4 wickets,20-Feb-10,England,Pakistan,145,Pakistan
Hobart,38 runs,21-Feb-10,Australia,West Indies,146,Australia
Sydney,8 wickets,23-Feb-10,Australia,West Indies,147,Australia
Wellington,6 wickets,26-Feb-10,New Zealand,Australia,148,Australia
Christchurch,-,28-Feb-10,New Zealand,Australia,149,tied
Port of Spain,26 runs,28-Feb-10,West Indies,Zimbabwe,150,Zimbabwe
Providence,2 wickets,30-Apr-10,New Zealand,Sri Lanka,151,New Zealand
Providence,70 runs,30-Apr-10,West Indies,Ireland,152,West Indies
Gros Islet,7 wickets,1-May-10,Afghanistan,India,153,India
Gros Islet,21 runs,1-May-10,Bangladesh,Pakistan,154,Pakistan
Gros Islet,14 runs,2-May-10,India,South Africa,155,India
Gros Islet,34 runs,2-May-10,Australia,Pakistan,156,Australia
Providence,14 runs,3-May-10,Sri Lanka,Zimbabwe,157,Sri Lanka
Providence,8 wickets,3-May-10,West Indies,England,158,West Indies
Providence,7 runs,4-May-10,New Zealand,Zimbabwe,159,New Zealand
Providence,-,4-May-10,England,Ireland,160,no result
Bridgetown,27 runs,5-May-10,Australia,Bangladesh,161,Australia
Bridgetown,59 runs,5-May-10,Afghanistan,South Africa,162,South Africa
Bridgetown,6 wickets,6-May-10,England,Pakistan,163,England
Bridgetown,13 runs,6-May-10,New Zealand,South Africa,164,South Africa
Bridgetown,49 runs,7-May-10,Australia,India,165,Australia
Bridgetown,57 runs,7-May-10,West Indies,Sri Lanka,166,Sri Lanka
Bridgetown,1 run,8-May-10,New Zealand,Pakistan,167,New Zealand
Bridgetown,39 runs,8-May-10,England,South Africa,168,England
Bridgetown,14 runs,9-May-10,West Indies,India,169,West Indies
Bridgetown,81 runs,9-May-10,Australia,Sri Lanka,170,Australia
Gros Islet,11 runs,10-May-10,Pakistan,South Africa,171,Pakistan
Gros Islet,3 wickets,10-May-10,England,New Zealand,172,England
Gros Islet,5 wickets,11-May-10,India,Sri Lanka,173,Sri Lanka
Gros Islet,6 wickets,11-May-10,West Indies,Australia,174,Australia
Gros Islet,7 wickets,13-May-10,England,Sri Lanka,175,England
Gros Islet,3 wickets,14-May-10,Australia,Pakistan,176,Australia
Bridgetown,7 wickets,16-May-10,Australia,England,177,England
North Sound,13 runs,19-May-10,West Indies,South Africa,178,South Africa
North Sound,1 run,20-May-10,West Indies,South Africa,179,South Africa
Lauderhill,28 runs,22-May-10,New Zealand,Sri Lanka,180,New Zealand
Lauderhill,7 wickets,23-May-10,New Zealand,Sri Lanka,181,Sri Lanka
Harare,6 wickets,12-Jun-10,Zimbabwe,India,182,India
Harare,7 wickets,13-Jun-10,Zimbabwe,India,183,India
Birmingham,23 runs,5-Jul-10,Australia,Pakistan,184,Pakistan
Birmingham,11 runs,6-Jul-10,Australia,Pakistan,185,Pakistan
Cardiff,5 wickets,5-Sep-10,England,Pakistan,186,England
Cardiff,6 wickets,7-Sep-10,England,Pakistan,187,England
Bloemfontein,7 wickets,8-Oct-10,South Africa,Zimbabwe,188,South Africa
Kimberley,8 runs,10-Oct-10,South Africa,Zimbabwe,189,South Africa
Abu Dhabi,6 wickets,26-Oct-10,Pakistan,South Africa,190,South Africa
Abu Dhabi,6 wickets,27-Oct-10,Pakistan,South Africa,191,South Africa
Perth,7 wickets,31-Oct-10,Australia,Sri Lanka,192,Sri Lanka
Auckland,5 wickets,26-Dec-10,New Zealand,Pakistan,193,New Zealand
Hamilton,39 runs,28-Dec-10,New Zealand,Pakistan,194,New Zealand
Christchurch,103 runs,30-Dec-10,New Zealand,Pakistan,195,Pakistan
Durban,21 runs,9-Jan-11,South Africa,India,196,India
Adelaide,1 wicket,12-Jan-11,Australia,England,197,England
Melbourne,4 runs,14-Jan-11,Australia,England,198,Australia
Gros Islet,7 runs,21-Apr-11,West Indies,Pakistan,199,West Indies
Port of Spain,16 runs,4-Jun-11,West Indies,India,200,India
Bristol,9 wickets,25-Jun-11,England,Sri Lanka,201,Sri Lanka
Pallekele,35 runs,6-Aug-11,Sri Lanka,Australia,202,Sri Lanka
Pallekele,8 runs,8-Aug-11,Sri Lanka,Australia,203,Sri Lanka
Manchester,6 wickets,31-Aug-11,England,India,204,England
Harare,85 runs,16-Sep-11,Zimbabwe,Pakistan,205,Pakistan
Harare,5 runs,18-Sep-11,Zimbabwe,Pakistan,206,Pakistan
The Oval,10 wickets,23-Sep-11,England,West Indies,207,England
The Oval,25 runs,25-Sep-11,England,West Indies,208,West Indies
Mirpur,3 wickets,11-Oct-11,Bangladesh,West Indies,209,Bangladesh
Cape Town,5 wickets,13-Oct-11,South Africa,Australia,210,Australia
Harare,10 wickets,15-Oct-11,Zimbabwe,New Zealand,211,New Zealand
Johannesburg,3 wickets,16-Oct-11,South Africa,Australia,212,South Africa
Harare,34 runs,17-Oct-11,Zimbabwe,New Zealand,213,New Zealand
Eden Gardens,6 wickets,29-Oct-11,India,England,214,England
Abu Dhabi,5 wickets,25-Nov-11,Pakistan,Sri Lanka,215,Pakistan
Mirpur,50 runs,29-Nov-11,Bangladesh,Pakistan,216,Pakistan
Sydney,31 runs,1-Feb-12,Australia,India,217,Australia
Melbourne,8 wickets,3-Feb-12,Australia,India,218,India
Auckland,7 wickets,11-Feb-12,New Zealand,Zimbabwe,219,New Zealand
Hamilton,5 wickets,14-Feb-12,New Zealand,Zimbabwe,220,New Zealand
Wellington,6 wickets,17-Feb-12,New Zealand,South Africa,221,New Zealand
Hamilton,8 wickets,19-Feb-12,New Zealand,South Africa,222,South Africa
Auckland,3 runs,22-Feb-12,New Zealand,South Africa,223,South Africa
Mombasa,6 wickets,22-Feb-12,Kenya,Ireland,224,Ireland
Mombasa,8 wickets,23-Feb-12,Kenya,Ireland,225,Ireland
Dubai (DICS),8 runs,23-Feb-12,England,Pakistan,226,Pakistan
Mombasa,2 runs,24-Feb-12,Kenya,Ireland,227,Ireland
Dubai (DICS),38 runs,25-Feb-12,England,Pakistan,228,England
Abu Dhabi,5 runs,27-Feb-12,England,Pakistan,229,England
Dubai (DICS),42 runs,13-Mar-12,Canada,Netherlands,230,Netherlands
ICCA Dubai,14 runs,13-Mar-12,Kenya,Scotland,231,Scotland
Dubai (DICS),10 wickets,14-Mar-12,Ireland,Kenya,232,Ireland
Dubai (DICS),4 wickets,14-Mar-12,Afghanistan,Netherlands,233,Afghanistan
ICCA Dubai,41 runs,18-Mar-12,Afghanistan,Canada,234,Afghanistan
Dubai (DICS),17 runs,18-Mar-12,Ireland,Scotland,235,Ireland
Dubai (DICS),10 wickets,22-Mar-12,Canada,Ireland,236,Ireland
ICCA Dubai,3 wickets,22-Mar-12,Netherlands,Scotland,237,Netherlands
Dubai (DICS),7 wickets,23-Mar-12,Ireland,Netherlands,238,Ireland
Dubai (DICS),4 wickets,23-Mar-12,Canada,Scotland,239,Scotland
Dubai (DICS),5 wickets,24-Mar-12,Afghanistan,Ireland,240,Ireland
Gros Islet,8 wickets,27-Mar-12,West Indies,Australia,241,Australia
Johannesburg,11 runs,30-Mar-12,South Africa,India,242,South Africa
Bridgetown,14 runs,30-Mar-12,West Indies,Australia,243,West Indies
Hambantota,37 runs,1-Jun-12,Sri Lanka,Pakistan,244,Sri Lanka
Hambantota,23 runs,3-Jun-12,Sri Lanka,Pakistan,245,Pakistan
Nottingham,7 wickets,24-Jun-12,England,West Indies,246,England
Lauderhill,56 runs,30-Jun-12,New Zealand,West Indies,247,West Indies
Lauderhill,61 runs,1-Jul-12,New Zealand,West Indies,248,West Indies
Belfast,71 runs,18-Jul-12,Ireland,Bangladesh,249,Bangladesh
Belfast,1 run,20-Jul-12,Ireland,Bangladesh,250,Bangladesh
Belfast,2 wickets,21-Jul-12,Ireland,Bangladesh,251,Bangladesh
The Hague,34 runs,24-Jul-12,Bangladesh,Scotland,252,Scotland
The Hague,8 wickets,25-Jul-12,Netherlands,Bangladesh,253,Bangladesh
The Hague,1 wicket,26-Jul-12,Netherlands,Bangladesh,254,Netherlands
Pallekele,39 runs,7-Aug-12,Sri Lanka,India,255,India
Dubai (DICS),7 wickets,5-Sep-12,Australia,Pakistan,256,Pakistan
Dubai (DICS),-,7-Sep-12,Australia,Pakistan,257,tied
Chester-le-Street,7 wickets,8-Sep-12,England,South Africa,258,South Africa
Dubai (DICS),94 runs,10-Sep-12,Australia,Pakistan,259,Australia
Manchester,-,10-Sep-12,England,South Africa,260,no result
Chennai,1 run,11-Sep-12,India,New Zealand,261,New Zealand
Birmingham,28 runs,12-Sep-12,England,South Africa,262,England
Hambantota,82 runs,18-Sep-12,Sri Lanka,Zimbabwe,263,Sri Lanka
Colombo (RPS),7 wickets,19-Sep-12,Australia,Ireland,264,Australia
Colombo (RPS),23 runs,19-Sep-12,Afghanistan,India,265,India
Hambantota,10 wickets,20-Sep-12,South Africa,Zimbabwe,266,South Africa
Pallekele,59 runs,21-Sep-12,Bangladesh,New Zealand,267,New Zealand
Colombo (RPS),116 runs,21-Sep-12,Afghanistan,England,268,England
Hambantota,32 runs,22-Sep-12,Sri Lanka,South Africa,269,South Africa
Colombo (RPS),17 runs,22-Sep-12,Australia,West Indies,270,Australia
Pallekele,13 runs,23-Sep-12,New Zealand,Pakistan,271,Pakistan
Colombo (RPS),90 runs,23-Sep-12,England,India,272,India
Colombo (RPS),-,24-Sep-12,Ireland,West Indies,273,no result
Pallekele,8 wickets,25-Sep-12,Bangladesh,Pakistan,274,Pakistan
Pallekele,-,27-Sep-12,Sri Lanka,New Zealand,275,tied
Pallekele,15 runs,27-Sep-12,England,West Indies,276,West Indies
Colombo (RPS),2 wickets,28-Sep-12,Pakistan,South Africa,277,Pakistan
Colombo (RPS),9 wickets,28-Sep-12,Australia,India,278,Australia
Pallekele,6 wickets,29-Sep-12,England,New Zealand,279,England
Pallekele,9 wickets,29-Sep-12,Sri Lanka,West Indies,280,Sri Lanka
Colombo (RPS),8 wickets,30-Sep-12,Australia,South Africa,281,Australia
Colombo (RPS),8 wickets,30-Sep-12,India,Pakistan,282,India
Pallekele,-,1-Oct-12,New Zealand,West Indies,283,tied
Pallekele,19 runs,1-Oct-12,Sri Lanka,England,284,Sri Lanka
Colombo (RPS),32 runs,2-Oct-12,Australia,Pakistan,285,Pakistan
Colombo (RPS),1 run,2-Oct-12,India,South Africa,286,India
Colombo (RPS),16 runs,4-Oct-12,Sri Lanka,Pakistan,287,Sri Lanka
Colombo (RPS),74 runs,5-Oct-12,Australia,West Indies,288,West Indies
Colombo (RPS),36 runs,7-Oct-12,Sri Lanka,West Indies,289,West Indies
Pallekele,-,30-Oct-12,Sri Lanka,New Zealand,290,no result
Mirpur,18 runs,10-Dec-12,Bangladesh,West Indies,291,West Indies
Pune,5 wickets,20-Dec-12,India,England,292,India
Durban,8 wickets,21-Dec-12,South Africa,New Zealand,293,South Africa
Wankhede,6 wickets,22-Dec-12,India,England,294,England
East London,8 wickets,23-Dec-12,South Africa,New Zealand,295,New Zealand
Bengaluru,5 wickets,25-Dec-12,India,Pakistan,296,Pakistan
Gqeberha,33 runs,26-Dec-12,South Africa,New Zealand,297,South Africa
Ahmedabad,11 runs,28-Dec-12,India,Pakistan,298,India
Sydney,5 wickets,26-Jan-13,Australia,Sri Lanka,299,Sri Lanka
Melbourne,2 runs,28-Jan-13,Australia,Sri Lanka,300,Sri Lanka
Auckland,40 runs,9-Feb-13,New Zealand,England,301,England
Hamilton,55 runs,12-Feb-13,New Zealand,England,302,New Zealand
Brisbane,27 runs,13-Feb-13,Australia,West Indies,303,West Indies
Wellington,10 wickets,15-Feb-13,New Zealand,England,304,England
North Sound,8 wickets,2-Mar-13,West Indies,Zimbabwe,305,West Indies
Centurion,95 runs,3-Mar-13,South Africa,Pakistan,306,Pakistan
Sharjah,27 runs,3-Mar-13,Afghanistan,Scotland,307,Afghanistan
North Sound,41 runs,3-Mar-13,West Indies,Zimbabwe,308,West Indies
Sharjah,7 wickets,4-Mar-13,Afghanistan,Scotland,309,Afghanistan
ICCA Dubai,5 wickets,15-Mar-13,Canada,Kenya,310,Canada
ICCA Dubai,21 runs,16-Mar-13,Canada,Kenya,311,Kenya
Pallekele,17 runs,31-Mar-13,Sri Lanka,Bangladesh,312,Sri Lanka
Windhoek,5 wickets,19-Apr-13,Kenya,Netherlands,313,Kenya
Windhoek,7 wickets,20-Apr-13,Kenya,Netherlands,314,Kenya
Bulawayo,6 runs,11-May-13,Zimbabwe,Bangladesh,315,Zimbabwe
Bulawayo,34 runs,12-May-13,Zimbabwe,Bangladesh,316,Bangladesh
The Oval,5 runs,25-Jun-13,England,New Zealand,317,New Zealand
The Oval,-,27-Jun-13,England,New Zealand,318,no result
Aberdeen,35 runs,4-Jul-13,Scotland,Kenya,319,Scotland
Aberdeen,7 wickets,5-Jul-13,Scotland,Kenya,320,Scotland
Kingstown,2 wickets,27-Jul-13,West Indies,Pakistan,321,Pakistan
Kingstown,11 runs,28-Jul-13,West Indies,Pakistan,322,Pakistan
Colombo (RPS),12 runs,2-Aug-13,Sri Lanka,South Africa,323,South Africa
Hambantota,22 runs,4-Aug-13,Sri Lanka,South Africa,324,South Africa
Hambantota,6 wickets,6-Aug-13,Sri Lanka,South Africa,325,Sri Lanka
Harare,25 runs,23-Aug-13,Zimbabwe,Pakistan,326,Pakistan
Harare,19 runs,24-Aug-13,Zimbabwe,Pakistan,327,Pakistan
Southampton,39 runs,29-Aug-13,England,Australia,328,Australia
Chester-le-Street,27 runs,31-Aug-13,England,Australia,329,England
Sharjah,106 runs,30-Sep-13,Afghanistan,Kenya,330,Afghanistan
Rajkot,6 wickets,10-Oct-13,India,Australia,331,India
Sharjah,34 runs,11-Oct-13,Afghanistan,Kenya,332,Kenya
Mirpur,15 runs,6-Nov-13,Bangladesh,New Zealand,333,New Zealand
Dubai (DICS),9 wickets,13-Nov-13,Pakistan,South Africa,334,South Africa
Sharjah,7 wickets,15-Nov-13,Afghanistan,Netherlands,335,Netherlands
Dubai (DICS),6 runs,15-Nov-13,Pakistan,South Africa,336,South Africa
Sharjah,17 runs,16-Nov-13,Afghanistan,Scotland,337,Afghanistan
Abu Dhabi,2 runs,16-Nov-13,Canada,Ireland,338,Ireland
ICCA Dubai,92 runs,19-Nov-13,Kenya,Scotland,339,Kenya
Johannesburg,4 runs,20-Nov-13,South Africa,Pakistan,340,South Africa
Pallekele,8 wickets,21-Nov-13,Sri Lanka,New Zealand,341,Sri Lanka
ICCA Dubai,15 runs,22-Nov-13,Netherlands,Scotland,342,Scotland
Cape Town,6 runs,22-Nov-13,South Africa,Pakistan,343,Pakistan
ICCA Dubai,29 runs,23-Nov-13,Kenya,Netherlands,344,Netherlands
Sharjah,34 runs,24-Nov-13,Afghanistan,Kenya,345,Afghanistan
Sharjah,21 runs,26-Nov-13,Canada,Kenya,346,Kenya
Abu Dhabi,8 wickets,28-Nov-13,Netherlands,Scotland,347,Netherlands
Abu Dhabi,68 runs,30-Nov-13,Afghanistan,Ireland,348,Ireland
Sharjah,6 wickets,8-Dec-13,Afghanistan,Pakistan,349,Pakistan
Dubai (DICS),3 wickets,11-Dec-13,Pakistan,Sri Lanka,350,Pakistan
Dubai (DICS),24 runs,13-Dec-13,Pakistan,Sri Lanka,351,Sri Lanka
Auckland,81 runs,11-Jan-14,New Zealand,West Indies,352,New Zealand
Wellington,4 wickets,15-Jan-14,New Zealand,West Indies,353,New Zealand
Hobart,13 runs,29-Jan-14,Australia,England,354,Australia
Melbourne,8 wickets,31-Jan-14,Australia,England,355,Australia
Sydney,84 runs,2-Feb-14,Australia,England,356,Australia
Chattogram,2 runs,12-Feb-14,Bangladesh,Sri Lanka,357,Sri Lanka
Chattogram,3 wickets,14-Feb-14,Bangladesh,Sri Lanka,358,Sri Lanka
Kingston,6 wickets,19-Feb-14,West Indies,Ireland,359,Ireland
Kingston,11 runs,21-Feb-14,West Indies,Ireland,360,West Indies
Bridgetown,27 runs,9-Mar-14,West Indies,England,361,West Indies
Bridgetown,5 wickets,11-Mar-14,West Indies,England,362,West Indies
Durban,5 wickets,12-Mar-14,South Africa,Australia,363,Australia
Bridgetown,5 runs,13-Mar-14,West Indies,England,364,England
Centurion,6 wickets,14-Mar-14,South Africa,Australia,365,Australia
Mirpur,9 wickets,16-Mar-14,Bangladesh,Afghanistan,366,Bangladesh
Chattogram,80 runs,16-Mar-14,Hong Kong,Nepal,367,Nepal
Sylhet,3 wickets,17-Mar-14,Ireland,Zimbabwe,368,Ireland
Sylhet,6 wickets,17-Mar-14,Netherlands,U.A.E.,369,Netherlands
Chattogram,7 wickets,18-Mar-14,Afghanistan,Hong Kong,370,Afghanistan
Chattogram,8 wickets,18-Mar-14,Bangladesh,Nepal,371,Bangladesh
Sylhet,5 wickets,19-Mar-14,Netherlands,Zimbabwe,372,Zimbabwe
Sylhet,21 runs,19-Mar-14,Ireland,U.A.E.,373,Ireland
Chattogram,9 runs,20-Mar-14,Afghanistan,Nepal,374,Nepal
Chattogram,2 wickets,20-Mar-14,Bangladesh,Hong Kong,375,Hong Kong
Sylhet,5 wickets,21-Mar-14,U.A.E.,Zimbabwe,376,Zimbabwe
